Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
558,-0.557673,0.441713
559,-1.41963,1.11136
560,-0.997436,0.892067
561,-0.137192,0.320671
562,-1.179,0.845226
563,-4.00151,2.18444
564,-1.6142,1.17365
565,-1.85843,1.24262
566,-0.70468,0.487898
567,-0.578099,0.443118
568,-2.80449,1.77224
569,-4.25782,2.94194
570,-2.31614,1.63585
571,-6.28416,3.02785
572,-0.420018,0.45048
573,-1.7959,1.1987
574,-1.77119,1.10611
575,-1.85493,0.987197
576,-0.593674,0.475294
577,-1.53951,1.14241
578,-1.15908,0.751749
579,-0.244602,0.177057
580,-0.254077,0.29823
581,-4.66721,2.69641
582,-0.546193,0.279169
583,-1.01501,0.631797
584,-3.80634,2.17443
585,-0.947967,0.705462
586,-4.96952,2.78988
587,-2.28182,1.20155
588,-4.51909,2.85023
589,-5.07787,2.58585
590,-2.42814,1.06219
591,-1.50006,1.10636
592,-0.918429,0.449576
593,-1.67813,0.706791
594,-0.684737,0.512431
595,-4.21573,1.93091
596,-1.08243,0.605318
597,-2.34927,0.880439
598,-2.61505,2.23045
599,-0.457081,0.675067
600,-1.77083,1.2256
601,-4.11772,3.36615
602,-0.213302,0.136313
603,-0.119032,0.109943
604,-0.0466886,0.0437314
605,-3.07398,3.06634
606,-0.0618355,0.0499243
607,-0.0350868,0.0321819
608,-1.3181,1.31318
609,-0.035163,0.0341167
610,0.116126,0.122151
611,-0.0647295,0.0545847
612,-0.015517,0.0122523
613,-0.205241,0.156554
614,-0.521761,0.412409
615,-0.0338185,0.033819
616,-0.0109592,0.0109592
617,-0.00788613,0.00788613
618,-0.00448559,0.00448563
619,-0.000989782,0.000989782
620,-0.0224975,0.0224975
621,-0.532754,0.398023
622,-0.28887,0.289828
623,-2.79193,2.75987
624,-0.121172,0.121172
625,-0.00919798,0.00919799
626,-0.00982338,0.00982338
627,-0.455789,0.455789
628,-0.190755,0.190755
629,-0.0661691,0.0649442
630,-0.0226346,0.0300754
631,-1.93307,1.99188
632,-3.10645,3.15263
633,-2.58813,1.80039
634,-2.25148,2.25617
635,-4.01158,3.51363
636,-3.15058,3.15126
637,-3.03865,3.132
638,-1.78399,1.89229
639,-2.23557,2.42988
640,-2.56515,2.56638
641,-1.83248,1.84264
642,-1.46095,1.23857
643,-2.56508,2.05503
644,-4.00489,3.86704
645,-0.211514,0.281246
646,-2.95796,3.12616
647,-4.30889,3.57828
648,-5.33965,3.94356
649,-1.47317,1.50858
650,-5.08607,3.64368
651,-5.59487,4.11191
652,-6.84717,4.06512
653,-3.75836,3.21742
654,-1.11168,1.18104
655,-4.47271,3.19977
656,-5.75796,4.15357
657,-2.88823,2.1533
658,-6.4742,4.68274
659,-0.685433,0.566557
660,-3.94381,2.97
661,-1.74748,1.79386
662,-3.12076,2.72891
663,0.13509,0.13509
664,-3.45224,3.49292
665,0.134157,0.135117
666,0.160034,0.157518
667,-3.30538,3.31531
668,0.208538,0.164355
669,-0.890898,0.9154
670,0.174584,0.174584
671,0.174585,0.174584
672,-2.68094,2.70178
673,0.152958,0.114071
674,0.175248,0.174569
675,0.160193,0.149776
676,0.121621,0.121927
677,-0.213452,0.205989
678,-0.046889,0.0468889
679,-0.910627,0.910622
680,-2.06167,1.52544
681,-1.15698,1.15698
682,-1.33873,1.21157
683,-0.579554,0.654677
684,-0.115494,0.0881754
685,-0.655244,0.501579
686,-1.67575,1.67529
687,-1.18936,1.18791
688,-0.017658,0.0176579
689,-0.00785022,0.00784606
690,-1.86394,1.8624
691,-1.95656,1.80881
692,-0.385607,0.293161
693,-2.25554,1.95313
694,-1.8587,1.69037
695,-1.62626,1.62202
696,-0.130297,0.0931201
697,-2.03642,1.99559
698,-1.88023,1.51442
699,-3.21651,2.34117
700,-0.947688,0.948205
701,-2.59259,1.94709
702,-2.08813,1.95994
703,-1.32943,1.18957
704,-1.18335,1.18325
705,-1.55663,1.55614
706,-0.00227777,0.00227777
707,-0.0311607,0.0311607
708,-0.16086,0.160861
709,-0.0576665,0.0576665
710,-0.000104937,0.000104937
711,-0.0944346,0.0944343
712,-0.610433,0.610433
713,-3.18929e-07,3.18929e-07
714,-0.0923407,0.0914802
715,-0.000341298,0.000341419
716,-0.00159011,0.00159067
717,-0.0159961,0.0159961
718,-0.000952384,0.000952384
719,-0.0547832,0.0547832
720,-0.282922,0.282805
721,-0.0458018,0.0458064
722,-0.00706528,0.056354
723,0.0192455,0.019236
724,0.00192418,0.0019126
725,0.114192,0.100035
726,0.0242792,0.0169698
727,0.1388,0.0994684
728,0.000444772,0.000361725
729,0.00853784,0.00846486
730,0.0254713,0.0225633
731,0.00336297,0.00336297
732,0.0278476,0.0275397
733,0.0989015,0.0705034
734,0.0753398,0.0528743
735,-0.868497,0.868499
736,-1.07566,1.19744
737,0.275676,0.193139
738,-0.16308,0.272784
739,-0.207553,0.420346
740,-1.11958,1.2589
741,-3.68028,2.73221
742,-0.23841,0.360165
743,0.149711,0.158103
744,-1.12922,1.26146
745,-3.46038,3.49881
746,0.114887,0.144773
747,-1.34697,1.46857
748,-1.21887,1.32429
749,-0.857511,0.980083
750,0.0361445,0.0396666
751,0.0305216,0.0305216
752,0.183961,0.128445
753,0.111309,0.0884275
754,0.175344,0.174566
755,0.0943385,0.0943384
756,0.158265,0.116265
757,0.290098,0.207032
758,0.17843,0.130231
759,0.0900666,0.0851653
760,8.71689e-07,8.71404e-07
761,0.149417,0.149691
762,0.125534,0.142395
763,0.155597,0.149649
764,3.22407e-05,2.63628e-05
