Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
953,1509.79,68.1531
954,1537.33,39.6098
955,1577.93,31.5751
956,1476.5,68.8493
957,1559.3,35.8835
958,1508.72,77.3471
959,1495.12,58.1376
960,1508.04,46.6694
961,1598.48,26.575
962,1601.76,22.9242
963,1538.79,50.165
964,1462.2,71.6889
965,1539.63,69.3998
966,1555.42,46.6038
967,1558.88,33.6528
968,1617.29,15.7265
969,1568.73,41.6301
970,1472.93,79.7823
971,1461.03,69.8062
972,1604.26,23.8517
973,1541.76,44.2008
974,1612.49,18.1125
975,1541.27,40.754
976,1572.38,38.1876
977,1505.9,75.8401
978,1610.64,28.2265
979,1465.81,60.5924
980,1545.81,45.1377
981,1569.17,42.3674
982,1550.22,38.3782
983,1538.99,54.5486
984,1572.32,37.0499
985,1513.94,63.8162
986,1490.31,57.8055
987,1465.26,78.8559
988,1580.78,31.4638
989,1510.98,72.0031
990,1536.47,70.063
991,1557.32,40.6194
992,1571.65,42.4648
993,1495.08,74.3998
994,1513.09,64.4367
995,1603.09,33.5221
996,1528,46.4116
997,1562.76,57.5979
998,1460.99,69.2875
999,1496.5,56.0496
1000,1525.74,75.0589
1001,1529.21,61.1353
1002,1505.69,49.3414
1003,1553.18,44.4293
1004,1534,43.365
1005,1578.51,39.9438
1006,1595.7,31.7313
1007,1497.84,66.0968
1008,1541.35,48.939
1009,1494.23,48.2147
1010,1483.01,70.7715
1011,1473.05,76.25
1012,1585.17,35.92
1013,1517.1,61.939
1014,1563.01,42.2592
1015,1504.58,50.6486
1016,1480.18,68.7529
1017,1488.03,74.1239
1018,1536.93,46.2348
1019,1588.55,29.5449
1020,1530.69,50.3763
1021,1562.36,47.8376
1022,1518.52,64.1789
1023,1566.21,50.7831
1024,1578.15,34.5822
1025,1560.48,34.7483
1026,1568.65,47.6664
1027,1512.46,78.224
1028,1573.14,35.1793
1029,1589.08,32.3637
1030,1578.33,32.3088
1031,1563.95,56.1753
1032,1603.82,25.0126
1033,1517.48,60.634
1034,1554.17,55.9581
